subject,effect,target_alternative,dwell_A,dwell_B,dwell_C,dwell_p,dwell_m,dwell_target,dwell_competitor,dwell_decoy
21,compromise,B,0.2573,0.3279,0.4147,0.5013,0.4987,0.3279,0.2573,0.4147
22,attraction,A,0.3819,0.2942,0.3239,0.4555,0.5445,0.3819,0.2942,0.3239
22,attraction,B,0.3293,0.3614,0.3093,0.4758,0.5242,0.3614,0.3293,0.3093
22,compromise,A,0.3619,0.281,0.3571,0.4662,0.5338,0.3619,0.281,0.3571
22,compromise,B,0.3404,0.4201,0.2395,0.4188,0.5812,0.4201,0.3404,0.2395
23,attraction,A,0.3304,0.3613,0.3083,0.5132,0.4868,0.3304,0.3613,0.3083
23,attraction,B,0.3112,0.3763,0.3125,0.5235,0.4765,0.3763,0.3112,0.3125
23,compromise,A,0.3406,0.392,0.2674,0.5051,0.4949,0.3406,0.392,0.2674
23,compromise,B,0.2966,0.3303,0.3731,0.5428,0.4572,0.3303,0.2966,0.3731
24,attraction,A,0.371,0.3557,0.2732,0.4744,0.5256,0.371,0.3557,0.2732
24,attraction,B,0.3598,0.3706,0.2695,0.4834,0.5166,0.3706,0.3598,0.2695
24,compromise,A,0.3587,0.3024,0.3389,0.4869,0.5131,0.3587,0.3024,0.3389
24,compromise,B,0.3469,0.3956,0.2574,0.4842,0.5158,0.3956,0.3469,0.2574
26,attraction,A,0.334,0.3815,0.2845,0.4773,0.5227,0.334,0.3815,0.2845
26,attraction,B,0.3199,0.3662,0.314,0.5124,0.4876,0.3662,0.3199,0.314
26,compromise,A,0.3713,0.3182,0.3105,0.5027,0.4973,0.3713,0.3182,0.3105
26,compromise,B,0.2978,0.3382,0.3639,0.5076,0.4924,0.3382,0.2978,0.3639
27,attraction,A,0.3575,0.3229,0.3196,0.5024,0.4976,0.3575,0.3229,0.3196
27,attraction,B,0.3672,0.347,0.2859,0.5238,0.4762,0.347,0.3672,0.2859
27,compromise,A,0.3394,0.3603,0.3003,0.4932,0.5068,0.3394,0.3603,0.3003
27,compromise,B,0.3419,0.3742,0.2839,0.5003,0.4997,0.3742,0.3419,0.2839
30,attraction,A,0.3439,0.3709,0.2852,0.4918,0.5082,0.3439,0.3709,0.2852
