,subject,trial,n_between-alt-diff,n_between-alt-same,n_within-alt,payne_index,payne_index_relaxed,n_dist0,n_dist1,n_dist2,n_diagonal,n_horizontal,n_vertical,n_competitor_decoy,n_target_competitor,n_target_decoy,within-alternative
2493,11,21,6.0,8.0,8.0,0.0,-0.2727272727272727,8.0,12.0,2.0,8.0,6.0,8.0,2.0,10.0,2.0,8.0
2494,11,22,2.0,8.0,12.0,0.2,0.09090909090909091,12.0,10.0,0.0,4.0,6.0,12.0,0.0,4.0,6.0,12.0
2495,11,23,6.0,7.0,8.0,0.06666666666666667,-0.23809523809523808,8.0,11.0,2.0,7.0,6.0,8.0,2.0,6.0,5.0,8.0
2496,11,24,7.0,8.0,15.0,0.30434782608695654,0.0,15.0,14.0,1.0,9.0,6.0,15.0,5.0,9.0,1.0,15.0
2497,11,25,2.0,3.0,1.0,-0.5,-0.6666666666666666,1.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0
2498,11,26,3.0,4.0,4.0,0.0,-0.2727272727272727,4.0,4.0,3.0,1.0,6.0,4.0,1.0,3.0,3.0,4.0
2499,11,27,1.0,7.0,2.0,-0.5555555555555556,-0.6,2.0,6.0,2.0,1.0,7.0,2.0,2.0,4.0,2.0,2.0
2500,11,28,4.0,1.0,6.0,0.7142857142857143,0.09090909090909091,6.0,5.0,0.0,1.0,4.0,6.0,2.0,3.0,0.0,6.0
2501,11,29,3.0,2.0,4.0,0.3333333333333333,-0.1111111111111111,4.0,5.0,0.0,2.0,3.0,4.0,0.0,2.0,3.0,4.0
2502,11,30,3.0,12.0,11.0,-0.043478260869565216,-0.15384615384615385,11.0,13.0,2.0,3.0,12.0,11.0,2.0,8.0,5.0,11.0
2503,11,31,3.0,6.0,5.0,-0.09090909090909091,-0.2857142857142857,5.0,7.0,2.0,4.0,5.0,5.0,4.0,3.0,2.0,5.0
2504,11,32,11.0,5.0,16.0,0.5238095238095238,0.0,16.0,11.0,5.0,4.0,12.0,16.0,9.0,0.0,0.0,23.0
2505,11,33,6.0,6.0,6.0,0.0,-0.3333333333333333,6.0,11.0,1.0,3.0,9.0,6.0,6.0,1.0,5.0,6.0
2506,11,34,5.0,6.0,4.0,-0.2,-0.4666666666666667,4.0,10.0,1.0,5.0,6.0,4.0,7.0,1.0,3.0,4.0
2507,11,35,2.0,12.0,6.0,-0.3333333333333333,-0.4,6.0,11.0,3.0,2.0,12.0,6.0,7.0,4.0,3.0,6.0
2508,11,36,1.0,14.0,9.0,-0.21739130434782608,-0.25,9.0,11.0,4.0,1.0,14.0,9.0,7.0,0.0,0.0,17.0
2509,11,37,9.0,8.0,14.0,0.2727272727272727,-0.0967741935483871,14.0,11.0,6.0,4.0,13.0,14.0,6.0,5.0,6.0,14.0
2510,11,38,0.0,4.0,2.0,-0.3333333333333333,-0.3333333333333333,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0
2511,11,39,2.0,2.0,1.0,-0.3333333333333333,-0.6,1.0,3.0,1.0,1.0,3.0,1.0,2.0,0.0,0.0,3.0
2512,11,40,3.0,3.0,5.0,0.25,-0.09090909090909091,5.0,5.0,1.0,4.0,2.0,5.0,3.0,1.0,2.0,5.0
2513,11,41,1.0,3.0,2.0,-0.2,-0.3333333333333333,2.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0
2514,11,42,13.0,2.0,12.0,0.7142857142857143,-0.1111111111111111,12.0,7.0,8.0,2.0,13.0,12.0,4.0,8.0,3.0,12.0
2515,11,43,5.0,7.0,8.0,0.06666666666666667,-0.2,8.0,12.0,0.0,3.0,9.0,8.0,0.0,6.0,6.0,8.0
2516,11,44,2.0,2.0,4.0,0.3333333333333333,0.0,4.0,4.0,0.0,2.0,2.0,4.0,2.0,0.0,2.0,4.0
2517,11,45,2.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0
2518,11,46,2.0,1.0,4.0,0.6,0.14285714285714285,4.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,4.0
2519,11,47,5.0,2.0,9.0,0.6363636363636364,0.125,9.0,3.0,4.0,1.0,6.0,9.0,2.0,1.0,4.0,9.0
2520,11,48,6.0,11.0,6.0,-0.29411764705882354,-0.4782608695652174,6.0,17.0,0.0,11.0,6.0,6.0,0.0,6.0,11.0,6.0
2521,11,49,10.0,17.0,11.0,-0.21428571428571427,-0.42105263157894735,11.0,24.0,3.0,8.0,19.0,11.0,3.0,11.0,13.0,11.0
2522,11,50,0.0,10.0,4.0,-0.42857142857142855,-0.42857142857142855,4.0,6.0,4.0,0.0,10.0,4.0,2.0,4.0,4.0,4.0
2523,11,51,1.0,7.0,1.0,-0.75,-0.7777777777777778,1.0,7.0,1.0,4.0,4.0,1.0,2.0,5.0,1.0,1.0
2524,11,52,4.0,2.0,2.0,0.0,-0.5,2.0,5.0,1.0,3.0,3.0,2.0,1.0,4.0,1.0,2.0
2525,11,53,0.0,2.0,0.0,-1.0,-1.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
2526,11,54,5.0,4.0,6.0,0.2,-0.2,6.0,5.0,4.0,4.0,5.0,6.0,2.0,3.0,4.0,6.0
2527,11,55,3.0,4.0,1.0,-0.6,-0.75,1.0,6.0,1.0,3.0,4.0,1.0,3.0,3.0,1.0,1.0
2528,11,56,9.0,2.0,7.0,0.5555555555555556,-0.2222222222222222,7.0,9.0,2.0,2.0,9.0,7.0,4.0,0.0,0.0,14.0
2529,11,57,3.0,5.0,3.0,-0.25,-0.45454545454545453,3.0,4.0,4.0,3.0,5.0,3.0,0.0,4.0,4.0,3.0
2530,11,58,3.0,10.0,4.0,-0.42857142857142855,-0.5294117647058824,4.0,10.0,3.0,3.0,10.0,4.0,5.0,3.0,5.0,4.0
2531,11,59,1.0,3.0,5.0,0.25,0.1111111111111111,5.0,3.0,1.0,2.0,2.0,5.0,3.0,0.0,1.0,5.0
2532,11,60,3.0,2.0,4.0,0.3333333333333333,-0.1111111111111111,4.0,3.0,2.0,2.0,3.0,4.0,1.0,2.0,2.0,4.0
2533,11,61,2.0,4.0,6.0,0.2,0.0,6.0,4.0,2.0,4.0,2.0,6.0,2.0,2.0,2.0,6.0
2534,11,62,0.0,5.0,4.0,-0.1111111111111111,-0.1111111111111111,4.0,3.0,2.0,0.0,5.0,4.0,1.0,2.0,2.0,4.0
2535,11,63,2.0,6.0,5.0,-0.09090909090909091,-0.23076923076923078,5.0,4.0,4.0,2.0,6.0,5.0,2.0,2.0,4.0,5.0
2536,11,64,3.0,12.0,8.0,-0.2,-0.30434782608695654,8.0,13.0,2.0,3.0,12.0,8.0,2.0,7.0,6.0,8.0
2537,11,65,6.0,2.0,10.0,0.6666666666666666,0.1111111111111111,10.0,7.0,1.0,2.0,6.0,10.0,2.0,5.0,1.0,10.0
2538,11,66,6.0,1.0,2.0,0.3333333333333333,-0.5555555555555556,2.0,7.0,0.0,1.0,6.0,2.0,0.0,1.0,6.0,2.0
2539,11,67,2.0,4.0,6.0,0.2,0.0,6.0,6.0,0.0,2.0,4.0,6.0,3.0,0.0,0.0,9.0
2540,11,68,4.0,3.0,3.0,0.0,-0.4,3.0,5.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0
2541,11,69,1.0,9.0,9.0,0.0,-0.05263157894736842,9.0,6.0,4.0,1.0,9.0,9.0,2.0,4.0,4.0,9.0
2542,11,70,3.0,3.0,5.0,0.25,-0.09090909090909091,5.0,5.0,1.0,3.0,3.0,5.0,3.0,1.0,2.0,5.0
2543,11,71,5.0,1.0,3.0,0.5,-0.3333333333333333,3.0,5.0,1.0,2.0,4.0,3.0,4.0,1.0,1.0,3.0
2544,11,72,1.0,5.0,5.0,0.0,-0.09090909090909091,5.0,5.0,1.0,1.0,5.0,5.0,2.0,1.0,3.0,5.0
2545,11,73,2.0,1.0,3.0,0.5,0.0,3.0,2.0,1.0,0.0,3.0,3.0,1.0,1.0,1.0,3.0
2546,11,74,8.0,9.0,13.0,0.18181818181818182,-0.13333333333333333,13.0,16.0,1.0,4.0,13.0,13.0,16.0,0.0,0.0,14.0
2547,11,75,3.0,4.0,4.0,0.0,-0.2727272727272727,4.0,7.0,0.0,2.0,5.0,4.0,3.0,4.0,0.0,4.0
2548,11,76,5.0,7.0,7.0,0.0,-0.2631578947368421,7.0,12.0,0.0,7.0,5.0,7.0,0.0,4.0,8.0,7.0
2549,11,77,7.0,1.0,5.0,0.6666666666666666,-0.23076923076923078,5.0,7.0,1.0,5.0,3.0,5.0,3.0,1.0,4.0,5.0
2550,11,78,1.0,4.0,1.0,-0.6,-0.6666666666666666,1.0,3.0,2.0,2.0,3.0,1.0,0.0,3.0,2.0,1.0
2551,11,79,3.0,7.0,7.0,0.0,-0.17647058823529413,7.0,9.0,1.0,3.0,7.0,7.0,9.0,0.0,0.0,8.0
2552,11,80,3.0,2.0,5.0,0.42857142857142855,0.0,5.0,3.0,2.0,3.0,2.0,5.0,2.0,2.0,1.0,5.0
2553,11,81,7.0,1.0,5.0,0.6666666666666666,-0.23076923076923078,5.0,8.0,0.0,3.0,5.0,5.0,0.0,4.0,4.0,5.0
2554,11,82,1.0,5.0,3.0,-0.25,-0.3333333333333333,3.0,6.0,0.0,1.0,5.0,3.0,0.0,2.0,4.0,3.0
2555,11,83,4.0,14.0,7.0,-0.3333333333333333,-0.44,7.0,18.0,0.0,4.0,14.0,7.0,0.0,14.0,4.0,7.0
2556,11,84,2.0,7.0,5.0,-0.16666666666666666,-0.2857142857142857,5.0,9.0,0.0,2.0,7.0,5.0,4.0,5.0,0.0,5.0
2557,11,85,1.0,6.0,1.0,-0.7142857142857143,-0.75,1.0,6.0,1.0,3.0,4.0,1.0,3.0,3.0,1.0,1.0
2558,11,86,5.0,2.0,5.0,0.42857142857142855,-0.16666666666666666,5.0,7.0,0.0,2.0,5.0,5.0,0.0,2.0,5.0,5.0
2559,11,87,4.0,2.0,7.0,0.5555555555555556,0.07692307692307693,7.0,6.0,0.0,3.0,3.0,7.0,3.0,0.0,3.0,7.0
2560,11,88,1.0,9.0,6.0,-0.2,-0.25,6.0,7.0,3.0,1.0,9.0,6.0,6.0,3.0,1.0,6.0
2561,11,89,3.0,7.0,5.0,-0.16666666666666666,-0.3333333333333333,5.0,10.0,0.0,1.0,9.0,5.0,4.0,6.0,0.0,5.0
