,subject,block,trial,effect,target,key,choice,choice_tcd,rt,pA,pB,pC,mA,mB,mC,pos_A,pos_B,pos_C,pA_top,pB_top,pC_top
40,41,1,41,filler,,M,C,,8940.0,0.32,0.6,0.78,31,16,12,0,2,1,False,False,True
41,41,1,42,attraction,A,M,B,competitor,6480.0,0.78,0.68,0.76,10,15,9,0,1,2,True,True,True
42,41,1,43,attraction,A,L,B,competitor,4150.0,0.72,0.65,0.7,10,15,9,2,0,1,True,True,True
43,41,1,44,compromise,B,M,B,target,3680.0,0.72,0.65,0.58,9,15,21,2,1,0,False,False,True
44,41,1,45,compromise,B,L,B,target,4880.0,0.72,0.65,0.52,10,15,21,2,0,1,False,False,False
45,41,1,46,compromise,A,R,B,competitor,5010.0,0.78,0.62,0.85,10,14,7,0,2,1,True,False,True
46,41,1,47,compromise,A,L,B,competitor,5150.0,0.78,0.68,0.88,9,15,8,2,0,1,False,True,True
47,41,1,48,attraction,B,L,B,target,5630.0,0.78,0.65,0.63,10,15,14,1,0,2,True,True,False
48,41,1,49,compromise,B,M,B,target,12880.0,0.78,0.65,0.52,10,14,21,2,1,0,False,True,True
49,41,1,50,attraction,A,M,B,competitor,4270.0,0.75,0.65,0.73,10,14,9,2,1,0,False,False,True
50,41,1,51,compromise,B,M,A,competitor,6050.0,0.72,0.62,0.55,10,14,22,1,0,2,True,True,False
51,41,1,52,compromise,B,R,C,decoy,4160.0,0.72,0.68,0.58,9,15,22,0,1,2,False,False,False
52,41,1,53,attraction,B,M,C,decoy,5280.0,0.72,0.62,0.6,10,14,13,2,0,1,True,False,False
53,41,1,54,attraction,A,R,B,competitor,4910.0,0.72,0.68,0.7,9,14,8,0,2,1,False,True,False
54,41,1,55,attraction,B,R,B,target,3450.0,0.78,0.65,0.63,9,15,14,0,2,1,False,False,False
55,41,1,56,attraction,A,M,B,competitor,2830.0,0.75,0.65,0.73,9,15,8,0,1,2,False,False,False
56,41,1,57,attraction,B,L,B,target,6170.0,0.72,0.68,0.66,10,14,13,2,0,1,True,True,False
57,41,1,58,compromise,A,M,C,decoy,5200.0,0.75,0.68,0.88,9,15,8,2,0,1,False,False,True
58,41,1,59,compromise,A,M,B,competitor,2700.0,0.78,0.68,0.82,10,15,8,2,1,0,False,True,True
59,41,1,60,compromise,B,R,A,competitor,5750.0,0.75,0.68,0.55,9,14,21,2,0,1,False,True,True
60,41,1,61,filler,,R,C,,7120.0,0.19,0.59,0.81,52,16,12,0,1,2,True,False,True
