subject,effect,target_alternative,A,B,C,competitor,decoy,target,rst
17,compromise,A,0.4791666666666667,0.3333333333333333,0.1875,0.3333333333333333,0.1875,0.4791666666666667,0.5897435897435898
17,compromise,B,0.3333333333333333,0.22916666666666666,0.4375,0.3333333333333333,0.4375,0.22916666666666666,0.4074074074074074
18,attraction,A,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666
18,attraction,B,0.5833333333333334,0.3958333333333333,0.020833333333333332,0.5833333333333334,0.020833333333333332,0.3958333333333333,0.40425531914893614
18,compromise,A,0.6041666666666666,0.375,0.020833333333333332,0.375,0.020833333333333332,0.6041666666666666,0.6170212765957447
18,compromise,B,0.14583333333333334,0.3333333333333333,0.5208333333333334,0.14583333333333334,0.5208333333333334,0.3333333333333333,0.6956521739130435
19,attraction,A,0.8125,0.1875,0.0,0.1875,0.0,0.8125,0.8125
19,attraction,B,0.1875,0.8125,0.0,0.1875,0.0,0.8125,0.8125
19,compromise,A,0.6666666666666666,0.25,0.08333333333333333,0.25,0.08333333333333333,0.6666666666666666,0.7272727272727273
19,compromise,B,0.020833333333333332,0.2708333333333333,0.7083333333333334,0.020833333333333332,0.7083333333333334,0.2708333333333333,0.9285714285714286
20,attraction,A,0.7708333333333334,0.20833333333333334,0.020833333333333332,0.20833333333333334,0.020833333333333332,0.7708333333333334,0.7872340425531915
20,attraction,B,0.9166666666666666,0.08333333333333333,0.0,0.9166666666666666,0.0,0.08333333333333333,0.08333333333333333
20,compromise,A,0.6041666666666666,0.16666666666666666,0.22916666666666666,0.16666666666666666,0.22916666666666666,0.6041666666666666,0.7837837837837838
20,compromise,B,0.6875,0.22916666666666666,0.08333333333333333,0.6875,0.08333333333333333,0.22916666666666666,0.25
21,attraction,A,0.3958333333333333,0.5833333333333334,0.020833333333333332,0.5833333333333334,0.020833333333333332,0.3958333333333333,0.40425531914893614
21,attraction,B,0.5833333333333334,0.4166666666666667,0.0,0.5833333333333334,0.0,0.4166666666666667,0.4166666666666667
21,compromise,A,0.2708333333333333,0.5,0.22916666666666666,0.5,0.22916666666666666,0.2708333333333333,0.35135135135135137
21,compromise,B,0.0,0.020833333333333332,0.9791666666666666,0.0,0.9791666666666666,0.020833333333333332,1.0
22,attraction,A,0.7916666666666666,0.20833333333333334,0.0,0.20833333333333334,0.0,0.7916666666666666,0.7916666666666666
22,attraction,B,0.3541666666666667,0.6458333333333334,0.0,0.3541666666666667,0.0,0.6458333333333334,0.6458333333333334
22,compromise,A,0.4791666666666667,0.2708333333333333,0.25,0.2708333333333333,0.25,0.4791666666666667,0.638888888888889
22,compromise,B,0.2916666666666667,0.625,0.08333333333333333,0.2916666666666667,0.08333333333333333,0.625,0.6818181818181818
23,attraction,A,0.2916666666666667,0.7083333333333334,0.0,0.7083333333333334,0.0,0.2916666666666667,0.2916666666666667
23,attraction,B,0.125,0.8125,0.0625,0.125,0.0625,0.8125,0.8666666666666667
23,compromise,A,0.2708333333333333,0.6875,0.041666666666666664,0.6875,0.041666666666666664,0.2708333333333333,0.2826086956521739
23,compromise,B,0.125,0.3125,0.5625,0.125,0.5625,0.3125,0.7142857142857143
24,attraction,A,0.6666666666666666,0.3125,0.020833333333333332,0.3125,0.020833333333333332,0.6666666666666666,0.6808510638297872
24,attraction,B,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333
24,compromise,A,0.5416666666666666,0.14583333333333334,0.3125,0.14583333333333334,0.3125,0.5416666666666666,0.7878787878787878
24,compromise,B,0.5625,0.3958333333333333,0.041666666666666664,0.5625,0.041666666666666664,0.3958333333333333,0.41304347826086957
26,attraction,A,0.6458333333333334,0.3541666666666667,0.0,0.3541666666666667,0.0,0.6458333333333334,0.6458333333333334
26,attraction,B,0.6458333333333334,0.3541666666666667,0.0,0.6458333333333334,0.0,0.3541666666666667,0.3541666666666667
26,compromise,A,0.4166666666666667,0.3333333333333333,0.25,0.3333333333333333,0.25,0.4166666666666667,0.5555555555555556
26,compromise,B,0.125,0.4375,0.4375,0.125,0.4375,0.4375,0.7777777777777778
27,attraction,A,0.7083333333333334,0.2916666666666667,0.0,0.2916666666666667,0.0,0.7083333333333334,0.7083333333333334
27,attraction,B,0.7708333333333334,0.22916666666666666,0.0,0.7708333333333334,0.0,0.22916666666666666,0.22916666666666666
27,compromise,A,0.75,0.25,0.0,0.25,0.0,0.75,0.75
27,compromise,B,0.7291666666666666,0.25,0.020833333333333332,0.7291666666666666,0.020833333333333332,0.25,0.25531914893617025
30,attraction,A,0.8958333333333334,0.10416666666666667,0.0,0.10416666666666667,0.0,0.8958333333333334,0.8958333333333334
30,attraction,B,0.7291666666666666,0.2708333333333333,0.0,0.7291666666666666,0.0,0.2708333333333333,0.2708333333333333
30,compromise,A,0.6875,0.125,0.1875,0.125,0.1875,0.6875,0.8461538461538461
30,compromise,B,0.4791666666666667,0.2708333333333333,0.25,0.4791666666666667,0.25,0.2708333333333333,0.3611111111111111
31,attraction,A,0.9583333333333334,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.9583333333333334,0.9787234042553191
31,attraction,B,0.9583333333333334,0.041666666666666664,0.0,0.9583333333333334,0.0,0.041666666666666664,0.041666666666666664
31,compromise,A,0.1875,0.0,0.8125,0.0,0.8125,0.1875,1.0
31,compromise,B,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.0,0.16666666666666666,0.16666666666666666
32,attraction,A,0.7291666666666666,0.2708333333333333,0.0,0.2708333333333333,0.0,0.7291666666666666,0.7291666666666666
32,attraction,B,0.0625,0.9375,0.0,0.0625,0.0,0.9375,0.9375
32,compromise,A,0.1875,0.8125,0.0,0.8125,0.0,0.1875,0.1875
32,compromise,B,0.0,0.10416666666666667,0.8958333333333334,0.0,0.8958333333333334,0.10416666666666667,1.0
33,attraction,A,0.9166666666666666,0.08333333333333333,0.0,0.08333333333333333,0.0,0.9166666666666666,0.9166666666666666
33,attraction,B,0.75,0.25,0.0,0.75,0.0,0.25,0.25
33,compromise,A,0.6875,0.10416666666666667,0.20833333333333334,0.10416666666666667,0.20833333333333334,0.6875,0.868421052631579
