subject,effect,dwell_decoy,rst,rst_z,dwell_decoy_z,is_attraction
15,compromise,0.2703137219140411,0.5417,-0.04944394189223428,-0.638262827163811,0
16,attraction,0.2625044713080549,0.4479,-0.7332392606524966,-0.9712397077946966,1
16,compromise,0.27652326415269485,0.5814,0.23996623033359174,-0.3734955519034066,0
17,attraction,0.28828745387160304,0.5638,0.11166348395639913,0.12811508827110854,1
17,compromise,0.2748806860981114,0.5152,-0.24262705433516543,-0.4435330682290685,0
18,attraction,0.27159537358286473,0.5368,-0.0851645928722473,-0.5836147698440581,1
18,compromise,0.24015440988662803,0.6429,0.6882968497766212,-1.9242189511949062,0
19,attraction,0.2922689825243999,0.8125,1.9246687694113818,0.29788259322664523,1
19,compromise,0.28469057847319357,0.7759,1.6578573763769937,-0.025251273062240127,0
20,attraction,0.2768261418780862,0.4316,-0.8520650996268283,-0.36058121667435444,1
20,compromise,0.29273424521397545,0.4938,-0.39863153004379664,0.3177208244302948,0
21,attraction,0.2626372822370744,0.4105,-1.0058825967040304,-0.9655768124555834,1
21,compromise,0.2848071732059654,0.3684,-1.3127885979812908,-0.020279816468621575,0
22,attraction,0.3166209465952929,0.7188,1.2416024435282622,1.336220513557386,1
22,compromise,0.261897513821779,0.6625,0.8311794536966757,-0.9971196315739104,0
23,attraction,0.3089647568789158,0.5699,0.15613204946213047,1.0097699617818674,1
23,compromise,0.2756888821500682,0.4179,-0.9519371237954379,-0.4090725784975075,0
24,attraction,0.2709893283907073,0.5053,-0.31479734917233615,-0.6094557945194917,1
24,compromise,0.2735969968484634,0.5696,0.1539450708307013,-0.49826800549943046,0
26,attraction,0.2992580550708056,0.5,-0.3534339716609222,0.5958880859971281,1
26,compromise,0.29828197668556405,0.6508,0.7458872870709291,0.5542692992060084,0
27,attraction,0.3027111858304725,0.4688,-0.5808797493295811,0.7431253520009939,1
27,compromise,0.28975784517407044,0.5053,-0.31479734917233615,0.19081077239053834,0
30,attraction,0.2783486058299312,0.5833,0.25381709499931143,-0.2956652185669659,1
30,compromise,0.2821499643562137,0.6133,0.47251495814225203,-0.1335799471235214,0
31,attraction,0.28790340239020334,0.5053,-0.31479734917233615,0.11173960351203155,1
31,compromise,0.2502514342659915,0.2982,-1.824541597735773,-1.4936941990609152,0
32,attraction,0.34981680218915345,0.8333,2.0762992878571547,2.7516511359328417,1
32,compromise,0.3020659516465117,0.2642,-2.0723991759644402,0.7156133567159403,0
33,attraction,0.3257229214023725,0.5833,0.25381709499931143,1.724317570721749,1
33,compromise,0.28356409583462805,0.6364,0.6409123127623167,-0.0732831129915241,0
34,attraction,0.2996150281307858,0.6042,0.4061766063222265,0.6111089800340467,1
34,compromise,0.2686029314505748,0.5614,0.09416765490496413,-0.7112088370538528,0
35,attraction,0.3199522490695657,0.8125,1.9246687694113818,1.4782631706941682,1
35,compromise,0.27253152234927125,0.4348,-0.8287373275582476,-0.5436985330920264,0
36,attraction,0.2506511554981161,0.4737,-0.5451590983495672,-1.4766505753241175,1
36,compromise,0.23238593779559535,0.5556,0.05188606803066198,-2.255457085895985,0
37,attraction,0.2419927877261606,0.4062,-1.037229290421185,-1.8458327718655787,1
37,compromise,0.29138521081985236,0.6,0.3755589054822149,0.26019965023791475,0
38,attraction,0.2979027391478894,0.5312,-0.12598819399226335,0.5380990751109785,1
38,compromise,0.2770284717779915,0.6522,0.7560931873509328,-0.3519541175674071,0
39,attraction,0.31480804767806475,0.4405,-0.7871847335610889,1.2589207242671052,1
39,compromise,0.27964246904390144,0.2745,-1.9973129096186966,-0.2404964759195463,0
41,attraction,0.3063669946500159,0.5435,-0.03632207010365763,0.8990045622265304,1
41,compromise,0.2558392433508121,0.5606,0.08833571188781887,-1.255436863946299,0
42,attraction,0.30774016058357406,0.7128,1.197862870899674,0.957554675702759,1
