subject,effect,dwell_decoy,cs_decoy,cs_decoy_z,dwell_decoy_z,is_attraction
30,compromise,0.3017,0.2188,0.46387914281356085,-0.04638995559175723,0
31,attraction,0.2879,0.0104,-0.7747564747570992,-0.5162478544293768,1
31,compromise,0.3015,0.4062,1.577700230782571,-0.05319949035752095,0
32,attraction,0.3498,0.0,-0.8365693846550591,1.5913031555741437,1
32,compromise,0.3104,0.4479,1.825546225277276,0.24982480671891474,0
33,attraction,0.3257,0.0,-0.8365693846550591,0.7707542162997518,1
33,compromise,0.3196,0.3125,1.020789686798066,0.5630634059439932,0
34,attraction,0.2996,0.0,-0.8365693846550591,-0.11789007063226595,1
34,compromise,0.3133,0.4062,1.577700230782571,0.3485630608224727,0
35,attraction,0.32,0.0,-0.8365693846550591,0.5766824754755188,1
35,compromise,0.276,0.0417,-0.5887233901603541,-0.9214151729922495,0
36,attraction,0.2531,0.0104,-0.7747564747570992,-1.7011069036720665,1
36,compromise,0.2463,0.0625,-0.46509757036443417,-1.9326310857079945,0
37,attraction,0.242,0.0,-0.8365693846550591,-2.07903608317189,1
37,compromise,0.3362,0.375,1.392261501088691,1.128254791502288,0
38,attraction,0.2979,0.0,-0.8365693846550591,-0.1757711161412472,1
38,compromise,0.2847,0.0417,-0.5887233901603541,-0.6252004106815775,0
39,attraction,0.3198,0.125,-0.09362575607380914,0.569872940709755,1
39,compromise,0.3332,0.4688,1.9497663999760608,1.026111770015849,0
41,attraction,0.3106,0.0417,-0.5887233901603541,0.25663434148467656,1
41,compromise,0.3166,0.3125,1.020789686798066,0.46092038445755434,0
42,attraction,0.3097,0.0208,-0.7129435648591391,0.22599143503874455,1
42,compromise,0.2919,0.375,1.392261501088691,-0.38005715911412496,0
43,attraction,0.3241,0.0625,-0.46509757036443417,0.7162779381736515,1
43,compromise,0.3715,0.4375,1.7637333153793158,2.3301376776593843,0
